1;Samsung Galaxy S8 64GB SM-G950 Midnight Black;93.600%;;{Wbudowany aparat cyfrowy= 12 Mpix, System operacyjny= Android, Przekątna ekranu= 5,8 cala};Smartfony;2499,00zł
2;Samsung Galaxy S8 Plus 64GB SM-G955 Midnight Black;87.200%;;{Wbudowany aparat cyfrowy= 12 Mpix, System operacyjny= Android, Przekątna ekranu= 6,2 cala};Smartfony;2836,00zł
3;Samsung Galaxy S8 64GB SM-G950 Arctic Silver;93.600%;;{Wbudowany aparat cyfrowy= 12 Mpix, System operacyjny= Android, Przekątna ekranu= 5,8 cala};Smartfony;2487,00zł
4;Xiaomi Redmi 4X 3/32GB Czarny;94.400%;;{Wbudowany aparat cyfrowy= 13 Mpix, System operacyjny= Android, Przekątna ekranu= 5 cali};Smartfony;577,90zł
5;LG G6 Czarny;95.200%;;{Wbudowany aparat cyfrowy= 13 Mpix, System operacyjny= Android, Przekątna ekranu= 5,7 cala};Smartfony;1752,60zł
6;Xiaomi Redmi Note 4 3/32GB Czarny;95.200%;;{Wbudowany aparat cyfrowy= 13 Mpix, System operacyjny= Android, Przekątna ekranu= 5,5 cala};Smartfony;699,00zł
7;Apple iPhone SE 32GB Gwiezdna Szarość;96.600%;;{Wbudowany aparat cyfrowy= 12 Mpix, System operacyjny= Apple iOS, Przekątna ekranu= 4 cale};Smartfony;1337,00zł
8;Apple iPhone 7 32GB Czarny;93.800%;;{Wbudowany aparat cyfrowy= 12 Mpix, System operacyjny= Apple iOS, Przekątna ekranu= 4,7 cala};Smartfony;2516,00zł
9;Samsung Galaxy S7 SM-G930F 32GB Czarny;91.200%;;{Wbudowany aparat cyfrowy= 12 Mpix, System operacyjny= Android, Przekątna ekranu= 5,1 cala};Smartfony;1871,50zł
10;Xiaomi Redmi 4A 32GB Szary;94.200%;;{Wbudowany aparat cyfrowy= 13 Mpix, System operacyjny= Android, Przekątna ekranu= 5 cali};Smartfony;454,00zł
11;Xiaomi Mi A1 64GB Czarny;98.200%;;{Wbudowany aparat cyfrowy= 12 Mpix, System operacyjny= Android, Przekątna ekranu= 5,5 cala};Smartfony;1039,00zł
12;Apple iPhone 6 32GB Gwiezdna Szarość;92.600%;;{Wbudowany aparat cyfrowy= 8 Mpix, System operacyjny= Apple iOS, Przekątna ekranu= 4,7 cala};Smartfony;1597,00zł
