1;Samsung;Galaxy S8 64GB SM-G950 Midnight Black;93.600%;System operacyjny: Android, Przekątna ekranu: 5,8 cala, Wbudowany aparat cyfrowy: 12 Mpix;Smartfony;2499,00zł;61;image.ceneo.pl/data/products/50851290/f-samsung-galaxy-s8-64gb-sm-g950-midnight-black.jpg
2;Samsung;Galaxy S8 Plus 64GB SM-G955 Midnight Black;87.200%;System operacyjny: Android, Przekątna ekranu: 6,2 cala, Wbudowany aparat cyfrowy: 12 Mpix;Smartfony;2836,00zł;51;image.ceneo.pl/data/products/50851292/f-samsung-galaxy-s8-plus-64gb-sm-g955-midnight-black.jpg
3;Samsung;Galaxy S8 64GB SM-G950 Arctic Silver;93.600%;System operacyjny: Android, Przekątna ekranu: 5,8 cala, Wbudowany aparat cyfrowy: 12 Mpix;Smartfony;2487,00zł;43;image.ceneo.pl/data/products/50851295/f-samsung-galaxy-s8-64gb-sm-g950-arctic-silver.jpg
4;Xiaomi;Redmi 4X 3/32GB Czarny;94.400%;System operacyjny: Android, Przekątna ekranu: 5 cali, Wbudowany aparat cyfrowy: 13 Mpix;Smartfony;577,90zł;32;image.ceneo.pl/data/products/51409651/f-xiaomi-redmi-4x-3-32gb-czarny.jpg
5;LG;G6 Czarny;95.200%;System operacyjny: Android, Przekątna ekranu: 5,7 cala, Wbudowany aparat cyfrowy: 13 Mpix;Smartfony;1752,90zł;39;image.ceneo.pl/data/products/50734754/f-lg-g6-czarny.jpg
6;Xiaomi;Redmi Note 4 3/32GB Czarny;95.200%;System operacyjny: Android, Przekątna ekranu: 5,5 cala, Wbudowany aparat cyfrowy: 13 Mpix;Smartfony;699,00zł;35;image.ceneo.pl/data/products/50610222/f-xiaomi-redmi-note-4-3-32gb-czarny.jpg
7;Apple;iPhone SE 32GB Gwiezdna Szarość;96.600%;System operacyjny: Apple iOS, Przekątna ekranu: 4 cale, Wbudowany aparat cyfrowy: 12 Mpix;Smartfony;1337,00zł;28;image.ceneo.pl/data/products/50720937/f-apple-iphone-se-32gb-gwiezdna-szarosc.jpg
8;Apple;iPhone 7 32GB Czarny;93.800%;System operacyjny: Apple iOS, Przekątna ekranu: 4,7 cala, Wbudowany aparat cyfrowy: 12 Mpix;Smartfony;2499,00zł;49;image.ceneo.pl/data/products/47044601/f-apple-iphone-7-32gb-czarny.jpg
9;Samsung;Galaxy S7 SM-G930F 32GB Czarny;91.200%;System operacyjny: Android, Przekątna ekranu: 5,1 cala, Wbudowany aparat cyfrowy: 12 Mpix;Smartfony;1871,80zł;44;image.ceneo.pl/data/products/43223879/f-samsung-galaxy-s7-sm-g930f-32gb-czarny.jpg
10;Xiaomi;Mi A1 64GB Czarny;98.600%;System operacyjny: Android, Przekątna ekranu: 5,5 cala, Wbudowany aparat cyfrowy: 12 Mpix;Smartfony;1039,00zł;21;image.ceneo.pl/data/products/55891975/f-xiaomi-mi-a1-64gb-czarny.jpg
